,fold0,fold0-Y,fold0-Prediction,fold1,fold1-Y,fold1-Prediction,fold2,fold2-Y,fold2-Prediction,fold3,fold3-Y,fold3-Prediction,fold4,fold4-Y,fold4-Prediction,fold5,fold5-Y,fold5-Prediction,fold6,fold6-Y,fold6-Prediction,fold7,fold7-Y,fold7-Prediction,fold8,fold8-Y,fold8-Prediction,fold9,fold9-Y,fold9-Prediction
0,LF/115-2083r318,5,2,Expknap/26_knapPI_1_50_10000_1,3,3,Combo/QuadFi,1,1,GREEDY/TSP-29-3-2-2707,4,4,CHR/TSP-116-4-2-3804,0,0,Combo/NoSmallWeight,1,1,Expknap/10_knapPI_1_100_1000000_1,3,3,DSATUR/119-6874r145,2,2,LF/134-279r739,5,5,DSATUR/108-369r769,2,5
1,Expknap/0_knapPI_9_500_1000_1,3,3,Combo/CubeFi,1,1,Expknap/12_knapPI_4_500_1000000_1,3,3,LF/123-6976r191,5,2,LF/89-3870r627,5,2,Combo/SpannerUncorrelate,1,1,CHR/TSP-30-3-1-1059,0,0,Combo/EvenOddSubsetSu,1,1,Expknap/4_knapPI_4_100_10000000_1,3,3,DSATUR/59-1625r890,2,2
2,Expknap/49_knapPI_4_100_10000000_1,3,3,GREEDY/TSP-189-1-1-1690,4,4,DSATUR/78-1729r510,2,2,Combo/CubeFi,1,1,Expknap/34_knapPI_13_200_1000_1,3,3,GREEDY/TSP-193-7-0-2691,4,4,Expknap/39_knapPI_16_1000_1000_1,3,1,Expknap/43_knapPI_5_100_1000_1,3,3,GREEDY/TSP-175-10-0-5520,4,4,CHR/TSP-134-4-3-3326,0,0
3,CHR/TSP-32-10-0-678,0,0,DSATUR/172-14174r61,2,2,Combo/QuadFi,1,1,CHR/TSP-41-9-3-2366,0,4,Combo/36_knapPI_9_500_1000_1,1,3,CHR/TSP-45-4-1-2098,0,0,Combo/EvenOddSubsetSu,1,1,DSATUR/67-1081r236,2,2,GREEDY/TSP-137-8-0-3644,4,4,LF/15-21r534,5,5
4,GREEDY/TSP-199-9-0-3558,4,4,LF/96-4369r594,5,2,Expknap/44_knapPI_11_100_1000_1,3,3,Combo/Circl,1,1,DSATUR/103-389r42,2,5,GREEDY/TSP-187-6-0-1008,4,4,CHR/TSP-151-5-3-3520,0,0,GREEDY/TSP-75-10-1-2303,4,0,DSATUR/180-8125r122,2,2,Expknap/30_knapPI_3_1000_100000_1,3,1
5,Expknap/15_knapPI_15_100_1000_1,3,3,LF/30-399r329,5,5,GREEDY/TSP-147-2-0-5130,4,4,LF/25-55r850,5,5,Combo/0_knapPI_12_1000_1000_1,1,1,Combo/SimilarWeightsUncorrelate,1,1,GREEDY/TSP-200-2-3-5776,4,4,Expknap/27_knapPI_15_20_1000_1,3,3,Expknap/20_knapPI_2_500_10000000_1,3,3,GREEDY/TSP-186-10-3-2095,4,0
6,LF/30-327r367,5,5,CHR/TSP-136-9-3-2034,0,4,Expknap/23_knapPI_2_50_1000_1,3,3,GREEDY/TSP-125-8-0-3310,4,4,Expknap/11_knapPI_3_200_10000000_1,3,3,LF/111-5685r237,5,2,GREEDY/TSP-185-9-0-4069,4,4,Combo/SpannerStron,1,1,GREEDY/TSP-135-8-0-4850,4,4,CHR/TSP-139-5-2-3418,0,0
7,Expknap/34_knapPI_6_50_1000_1,3,3,Combo/49_knapPI_6_500_1000000_1,1,1,Expknap/43_knapPI_3_100_10000_1,3,3,LF/22-168r111,5,5,Expknap/30_knapPI_15_200_1000_1,3,3,DSATUR/105-374r847,2,5,DSATUR/129-5604r488,2,2,Combo/QuadFi,1,1,CHR/TSP-38-6-1-2299,0,0,DSATUR/146-6005r395,2,2
8,LF/52-90r622,5,5,CHR/TSP-90-5-0-2166,0,0,DSATUR/94-3648r497,2,2,CHR/TSP-146-7-3-734,0,4,LF/43-207r799,5,5,Expknap/4_knapPI_3_2000_10000_1,3,3,CHR/TSP-55-1-2-1342,0,0,GREEDY/TSP-40-7-2-215,4,0,GREEDY/TSP-149-9-2-3265,4,0,LF/34-533r685,5,2
9,LF/19-164r35,5,5,Expknap/13_knapPI_4_200_1000_1,3,3,CHR/TSP-44-9-1-2311,0,4,LF/101-3008r205,5,2,DSATUR/192-8174r573,2,2,GREEDY/TSP-153-7-2-741,4,0,Expknap/28_knapPI_5_500_10000_1,3,3,LF/12-55r379,5,5,CHR/TSP-99-2-2-3621,0,4,Combo/QuadFi,1,1
10,Expknap/37_knapPI_5_200_1000000_1,3,3,Combo/RandomCeilin,1,1,CHR/TSP-48-5-2-508,0,0,DSATUR/89-1220r834,2,2,LF/136-9143r249,5,2,GREEDY/TSP-90-5-3-4142,4,0,LF/34-91r938,5,5,LF/29-362r770,5,5,Expknap/15_knapPI_1_50_10000_1,3,3,LF/18-90r39,5,5
11,LF/27-364r429,5,5,CHR/TSP-132-7-2-426,0,0,CHR/TSP-113-10-3-3173,0,4,Expknap/43_knapPI_13_1000_1000_1,3,1,LF/11-26r604,5,5,CHR/TSP-45-6-0-4098,0,0,Combo/AlmostStron,1,1,CHR/TSP-74-10-0-143,0,0,GREEDY/TSP-143-4-0-1341,4,4,LF/124-2263r619,5,2
