,fold0,fold0-Y,fold0-Prediction,fold1,fold1-Y,fold1-Prediction,fold2,fold2-Y,fold2-Prediction,fold3,fold3-Y,fold3-Prediction,fold4,fold4-Y,fold4-Prediction,fold5,fold5-Y,fold5-Prediction,fold6,fold6-Y,fold6-Prediction,fold7,fold7-Y,fold7-Prediction,fold8,fold8-Y,fold8-Prediction,fold9,fold9-Y,fold9-Prediction
0,LFimgs/188-16643r41,5,5,ExpImgs/12_knapPI_2_1000_1000_1_new,3,3,LFimgs/182-16529r653,5,5,CHRimages/TSP-113-5-2-1471,0,0,GRDimages/TSP-125-5-1-2634,4,4,ExpImgs/24_knapPI_4_100_10000000_1_new,3,3,DSATURimgs/114-2491r820,2,2,ExpImgs/47_knapPI_9_100_1000_1_new,3,3,ComboImgs/EvenOddSubsetSum018,1,1,ExpImgs/43_knapPI_4_1000_10000_1_new,3,1
1,DSATURimgs/21-164r791,2,5,LFimgs/79-776r844,5,2,CHRimages/TSP-103-2-3-3488,0,4,CHRimages/TSP-151-1-2-3021,0,4,DSATURimgs/143-7746r973,2,2,ComboImgs/QuadFit162,1,1,LFimgs/45-937r700,5,5,CHRimages/TSP-92-8-1-2545,0,0,LFimgs/34-533r685,5,5,GRDimages/TSP-136-10-1-560,4,4
2,LFimgs/99-214r266,5,5,DSATURimgs/80-1770r551,2,2,GRDimages/TSP-35-8-0-4283,4,0,DSATURimgs/171-1684r512,2,2,ExpImgs/49_knapPI_11_200_1000_1_new,3,3,GRDimages/TSP-173-2-2-3855,4,0,ExpImgs/48_knapPI_3_200_10000000_1_new,3,3,ComboImgs/QuadFit032,1,1,CHRimages/TSP-159-5-3-1779,0,4,DSATURimgs/195-2255r888,2,2
3,GRDimages/TSP-157-6-0-4875,4,4,ExpImgs/38_knapPI_13_20_1000_1_new,3,3,GRDimages/TSP-159-6-0-5359,4,4,GRDimages/TSP-34-3-3-321,4,0,ExpImgs/45_knapPI_9_50_1000000_1_new,3,3,LFimgs/36-591r93,5,5,LFimgs/49-290r117,5,2,LFimgs/21-57r752,5,5,LFimgs/144-3057r86,5,2,DSATURimgs/148-6240r865,2,2
4,GRDimages/TSP-121-10-2-920,4,0,ExpImgs/17_knapPI_16_20_1000_1_new,3,3,CHRimages/TSP-56-4-2-2747,0,0,ExpImgs/21_knapPI_3_1000_100000_1_new,3,3,ComboImgs/InverseStrong064,1,3,ExpImgs/42_knapPI_16_20_1000_1_new,3,3,LFimgs/30-76r414,5,5,LFimgs/102-5117r317,5,5,DSATURimgs/69-537r447,2,2,ExpImgs/33_knapPI_9_100_1000_1_new,3,3
5,ExpImgs/17_knapPI_4_1000_10000_1_new,3,1,LFimgs/93-159r360,5,5,ExpImgs/31_knapPI_16_20_1000_1_new,3,3,ExpImgs/17_knapPI_14_20_1000_1_new,3,3,ComboImgs/32_knapPI_6_50_1000_1_new,1,3,ExpImgs/30_knapPI_15_100_1000_1_new,3,3,ComboImgs/Multiple178,1,1,GRDimages/TSP-191-8-0-4547,4,4,DSATURimgs/53-1108r67,2,5,ExpImgs/3_knapPI_5_1000_10000000_1_new,3,3
6,DSATURimgs/123-7359r428,2,5,LFimgs/109-5151r964,5,2,LFimgs/144-4412r332,5,5,GRDimages/TSP-114-6-0-4650,4,4,ComboImgs/EvenOddStrong013,1,1,GRDimages/TSP-148-4-0-1026,4,4,LFimgs/37-95r407,5,5,GRDimages/TSP-171-4-1-1299,4,4,ExpImgs/29_knapPI_5_1000_10000000_1_new,3,3,GRDimages/TSP-108-9-3-4451,4,0
7,CHRimages/TSP-188-2-3-133,0,0,ExpImgs/46_knapPI_2_2000_1000000_1_new,3,3,ComboImgs/5_knapPI_9_2000_1000_1_new,1,1,DSATURimgs/173-3883r531,2,2,ExpImgs/24_knapPI_11_2000_1000_1_new,3,3,LFimgs/10-43r953,5,5,ComboImgs/Profit081,1,1,DSATURimgs/90-2883r319,2,2,ComboImgs/38_knapPI_13_1000_1000_1_new,1,3,ExpImgs/33_knapPI_15_200_1000_1_new,3,3
8,ComboImgs/7_knapPI_6_500_1000000_1_new,1,1,GRDimages/TSP-144-8-3-930,4,0,ComboImgs/4_knapPI_13_100_1000_1_new,1,1,ComboImgs/InverseStrong137,1,1,GRDimages/TSP-192-2-3-3108,4,4,CHRimages/TSP-111-10-1-3927,0,4,GRDimages/TSP-64-5-2-3913,4,4,ComboImgs/CubeFit166,1,1,DSATURimgs/48-1004r173,2,2,LFimgs/22-75r401,5,5
9,DSATURimgs/182-5535r319,2,2,GRDimages/TSP-132-8-0-716,4,4,DSATURimgs/42-542r817,2,5,ExpImgs/37_knapPI_16_1000_1000_1_new,3,3,LFimgs/195-2721r940,5,2,LFimgs/129-8310r274,5,5,LFimgs/63-1817r283,5,5,ExpImgs/33_knapPI_14_1000_1000_1_new,3,3,CHRimages/TSP-88-6-1-2145,0,0,ComboImgs/22_knapPI_6_500_1000000_1_new,1,1
