,fold0,fold0-Y,fold0-Prediction,fold1,fold1-Y,fold1-Prediction,fold2,fold2-Y,fold2-Prediction,fold3,fold3-Y,fold3-Prediction,fold4,fold4-Y,fold4-Prediction,fold5,fold5-Y,fold5-Prediction,fold6,fold6-Y,fold6-Prediction,fold7,fold7-Y,fold7-Prediction,fold8,fold8-Y,fold8-Prediction,fold9,fold9-Y,fold9-Prediction
0,GREEDY/TSP-176-4-3-730.csv,1,1,GREEDY/TSP-176-4-3-730.csv,3,4,GREEDY/TSP-176-4-3-730.csv,0,0,GREEDY/TSP-176-4-3-730.csv,0,4,GREEDY/TSP-176-4-3-730.csv,2,5,GREEDY/TSP-176-4-3-730.csv,4,4,GREEDY/TSP-176-4-3-730.csv,5,2,GREEDY/TSP-176-4-3-730.csv,3,4,GREEDY/TSP-176-4-3-730.csv,3,4,GREEDY/TSP-176-4-3-730.csv,4,4
1,GREEDY/TSP-176-4-3-730.csv,0,4,GREEDY/TSP-176-4-3-730.csv,4,4,GREEDY/TSP-176-4-3-730.csv,4,4,GREEDY/TSP-176-4-3-730.csv,5,2,GREEDY/TSP-176-4-3-730.csv,3,3,GREEDY/TSP-176-4-3-730.csv,0,4,GREEDY/TSP-176-4-3-730.csv,3,3,GREEDY/TSP-176-4-3-730.csv,4,4,GREEDY/TSP-176-4-3-730.csv,2,2,GREEDY/TSP-176-4-3-730.csv,1,1
2,GREEDY/TSP-176-4-3-730.csv,0,4,GREEDY/TSP-176-4-3-730.csv,0,0,GREEDY/TSP-176-4-3-730.csv,0,0,GREEDY/TSP-176-4-3-730.csv,4,4,GREEDY/TSP-176-4-3-730.csv,1,1,GREEDY/TSP-176-4-3-730.csv,5,2,GREEDY/TSP-176-4-3-730.csv,5,5,GREEDY/TSP-176-4-3-730.csv,0,0,GREEDY/TSP-176-4-3-730.csv,1,1,GREEDY/TSP-176-4-3-730.csv,2,5
3,GREEDY/TSP-176-4-3-730.csv,5,2,GREEDY/TSP-176-4-3-730.csv,1,1,GREEDY/TSP-176-4-3-730.csv,2,2,GREEDY/TSP-176-4-3-730.csv,5,2,GREEDY/TSP-176-4-3-730.csv,2,5,GREEDY/TSP-176-4-3-730.csv,2,2,GREEDY/TSP-176-4-3-730.csv,0,4,GREEDY/TSP-176-4-3-730.csv,4,0,GREEDY/TSP-176-4-3-730.csv,5,5,GREEDY/TSP-176-4-3-730.csv,2,2
4,GREEDY/TSP-176-4-3-730.csv,1,1,GREEDY/TSP-176-4-3-730.csv,2,2,GREEDY/TSP-176-4-3-730.csv,0,4,GREEDY/TSP-176-4-3-730.csv,4,0,GREEDY/TSP-176-4-3-730.csv,4,4,GREEDY/TSP-176-4-3-730.csv,4,4,GREEDY/TSP-176-4-3-730.csv,5,5,GREEDY/TSP-176-4-3-730.csv,1,3,GREEDY/TSP-176-4-3-730.csv,2,2,GREEDY/TSP-176-4-3-730.csv,0,4
5,GREEDY/TSP-176-4-3-730.csv,2,2,GREEDY/TSP-176-4-3-730.csv,3,3,GREEDY/TSP-176-4-3-730.csv,4,4,GREEDY/TSP-176-4-3-730.csv,4,4,GREEDY/TSP-176-4-3-730.csv,1,1,GREEDY/TSP-176-4-3-730.csv,1,1,GREEDY/TSP-176-4-3-730.csv,4,4,GREEDY/TSP-176-4-3-730.csv,0,4,GREEDY/TSP-176-4-3-730.csv,1,1,GREEDY/TSP-176-4-3-730.csv,4,4
6,GREEDY/TSP-176-4-3-730.csv,1,1,GREEDY/TSP-176-4-3-730.csv,5,5,GREEDY/TSP-176-4-3-730.csv,3,4,GREEDY/TSP-176-4-3-730.csv,1,1,GREEDY/TSP-176-4-3-730.csv,5,2,GREEDY/TSP-176-4-3-730.csv,5,2,GREEDY/TSP-176-4-3-730.csv,2,2,GREEDY/TSP-176-4-3-730.csv,2,2,GREEDY/TSP-176-4-3-730.csv,2,5,GREEDY/TSP-176-4-3-730.csv,0,4
7,GREEDY/TSP-176-4-3-730.csv,2,2,GREEDY/TSP-176-4-3-730.csv,2,5,GREEDY/TSP-176-4-3-730.csv,1,3,GREEDY/TSP-176-4-3-730.csv,4,4,GREEDY/TSP-176-4-3-730.csv,2,2,GREEDY/TSP-176-4-3-730.csv,2,2,GREEDY/TSP-176-4-3-730.csv,2,2,GREEDY/TSP-176-4-3-730.csv,0,4,GREEDY/TSP-176-4-3-730.csv,5,2,GREEDY/TSP-176-4-3-730.csv,2,2
8,GREEDY/TSP-176-4-3-730.csv,5,2,GREEDY/TSP-176-4-3-730.csv,3,3,GREEDY/TSP-176-4-3-730.csv,5,2,GREEDY/TSP-176-4-3-730.csv,4,4,GREEDY/TSP-176-4-3-730.csv,5,5,GREEDY/TSP-176-4-3-730.csv,0,4,GREEDY/TSP-176-4-3-730.csv,5,5,GREEDY/TSP-176-4-3-730.csv,5,5,GREEDY/TSP-176-4-3-730.csv,0,4,GREEDY/TSP-176-4-3-730.csv,0,4
9,GREEDY/TSP-176-4-3-730.csv,5,2,GREEDY/TSP-176-4-3-730.csv,0,4,GREEDY/TSP-176-4-3-730.csv,5,5,GREEDY/TSP-176-4-3-730.csv,3,3,GREEDY/TSP-176-4-3-730.csv,2,5,GREEDY/TSP-176-4-3-730.csv,0,0,GREEDY/TSP-176-4-3-730.csv,0,4,GREEDY/TSP-176-4-3-730.csv,4,4,GREEDY/TSP-176-4-3-730.csv,3,3,GREEDY/TSP-176-4-3-730.csv,4,4
