,fold0,fold0-Y,fold0-Prediction,fold1,fold1-Y,fold1-Prediction,fold2,fold2-Y,fold2-Prediction,fold3,fold3-Y,fold3-Prediction,fold4,fold4-Y,fold4-Prediction,fold5,fold5-Y,fold5-Prediction,fold6,fold6-Y,fold6-Prediction,fold7,fold7-Y,fold7-Prediction,fold8,fold8-Y,fold8-Prediction,fold9,fold9-Y,fold9-Prediction
0,LF/187-14328r223,1,0,LF/87-3755r160,1,0,LF/163-8501r100,1,0,DSATUR/109-1772r16,0,0,DSATUR/21-45r167,0,1,DSATUR/55-553r688,0,0,DSATUR/121-4180r419,0,0,DSATUR/172-8225r817,0,0,DSATUR/131-7027r163,0,0,DSATUR/126-2298r543,0,0
1,DSATUR/169-2730r284,0,0,LF/54-305r469,1,1,LF/13-60r497,1,1,LF/59-1270r468,1,1,DSATUR/130-813r65,0,0,DSATUR/80-2420r927,0,0,LF/95-617r453,1,0,LF/51-268r877,1,1,LF/20-44r285,1,1,LF/194-14104r516,1,0
2,DSATUR/140-7953r761,0,0,LF/30-85r376,1,1,DSATUR/49-812r456,0,0,LF/17-77r871,1,1,LF/10-44r317,1,1,LF/60-808r631,1,0,DSATUR/136-2741r497,0,0,LF/144-4412r332,1,0,DSATUR/140-7213r142,0,0,DSATUR/114-2373r239,0,0
3,LF/163-648r966,1,0,DSATUR/159-1283r997,0,0,LF/28-355r30,1,1,LF/83-2851r43,1,0,LF/21-209r638,1,1,DSATUR/69-2112r219,0,0,DSATUR/109-5675r976,0,1,LF/15-88r548,1,1,LF/191-891r778,1,0,LF/173-393r381,1,1
4,DSATUR/193-4200r778,0,0,LF/30-122r157,1,1,LF/19-78r297,1,1,LF/69-98r429,1,1,DSATUR/189-10109r192,0,0,LF/27-126r108,1,1,DSATUR/24-44r285,0,1,LF/40-117r57,1,1,LF/11-57r965,1,1,DSATUR/158-2393r618,0,0
5,DSATUR/131-5175r789,0,0,DSATUR/56-482r792,0,0,DSATUR/156-7701r650,0,0,DSATUR/161-5886r625,0,0,LF/85-786r82,1,0,DSATUR/189-12303r106,0,0,LF/28-151r473,1,1,LF/109-668r705,1,0,DSATUR/107-828r374,0,0,LF/21-57r752,1,1
6,LF/30-62r660,1,1,DSATUR/88-947r746,0,0,DSATUR/126-5865r979,0,0,DSATUR/33-85r401,0,1,LF/154-10544r329,1,0,LF/169-14090r376,1,0,DSATUR/32-376r784,0,1,DSATUR/115-1113r310,0,0,DSATUR/148-9150r361,0,0,LF/121-4836r984,1,0
7,LF/27-126r39,1,1,DSATUR/90-3951r681,0,0,LF/127-5881r484,1,0,LF/127-3278r880,1,0,LF/36-575r387,1,1,DSATUR/160-419r806,0,1,LF/62-964r672,1,1,DSATUR/173-13616r935,0,0,DSATUR/191-15230r304,0,0,LF/46-572r683,1,1
8,DSATUR/114-3553r287,0,0,DSATUR/28-285r870,0,1,LF/47-429r66,1,1,DSATUR/143-5414r627,0,0,DSATUR/181-3589r114,0,0,DSATUR/164-10449r449,0,0,DSATUR/142-2536r230,0,0,DSATUR/55-165r629,0,1,LF/123-5368r353,1,0,LF/61-1077r550,1,1
9,LF/92-2554r773,1,0,DSATUR/89-2548r493,0,0,LF/19-127r928,1,1,LF/51-1190r559,1,1,DSATUR/136-8215r540,0,0,LF/77-1789r937,1,0,LF/19-139r125,1,1,LF/52-1291r974,1,1,LF/18-150r105,1,1,LF/27-28r306,1,1
10,LF/31-352r656,1,1,LF/59-276r698,1,1,DSATUR/31-88r611,0,1,LF/76-2775r629,1,1,LF/30-146r357,1,1,DSATUR/125-851r37,0,0,DSATUR/83-1443r117,0,0,LF/152-3559r536,1,0,LF/149-8048r564,1,0,LF/26-296r806,1,1
11,LF/30-33r515,1,1,DSATUR/169-6157r897,0,0,LF/142-2562r625,1,0,LF/22-176r348,1,1,LF/105-5429r328,1,1,DSATUR/79-2566r598,0,0,DSATUR/128-1667r380,0,0,LF/60-1753r353,1,1,DSATUR/135-2443r881,0,0,DSATUR/188-15242r425,0,0
12,DSATUR/59-421r290,0,1,LF/62-1052r518,1,0,LF/17-22r104,1,1,LF/32-351r2,1,1,DSATUR/26-80r593,0,1,DSATUR/178-12841r595,0,0,DSATUR/91-2560r42,0,0,DSATUR/166-9782r893,0,0,LF/55-811r583,1,0,DSATUR/44-324r495,0,1
13,DSATUR/180-5585r451,0,0,LF/108-1628r548,1,0,LF/23-224r950,1,1,DSATUR/197-1097r385,0,0,DSATUR/141-7007r142,0,0,LF/126-7807r439,1,0,LF/58-631r217,1,1,DSATUR/74-1975r349,0,0,LF/54-915r259,1,0,DSATUR/118-5077r363,0,0
14,DSATUR/100-4587r582,0,0,DSATUR/30-224r511,0,1,LF/42-845r424,1,1,LF/50-307r19,1,0,DSATUR/158-3995r921,0,0,DSATUR/27-174r970,0,1,DSATUR/172-8796r133,0,0,DSATUR/109-1002r251,0,0,DSATUR/71-663r762,0,0,DSATUR/124-4611r760,0,0
15,DSATUR/53-305r35,0,1,LF/127-2101r106,1,0,LF/25-131r385,1,1,DSATUR/87-2749r524,0,0,DSATUR/180-3809r963,0,0,DSATUR/97-2394r556,0,0,DSATUR/177-5661r608,0,0,LF/50-1156r917,1,1,LF/64-1752r735,1,0,LF/78-180r576,1,1
16,LF/68-2192r773,1,0,LF/193-8061r176,1,0,LF/57-1600r335,1,1,LF/54-996r492,1,1,LF/55-1451r721,1,1,DSATUR/181-2649r7,0,0,LF/69-1974r47,1,1,LF/32-103r593,1,1,LF/53-822r939,1,0,LF/46-791r427,1,1
17,LF/59-217r396,1,1,LF/68-74r884,1,1,LF/43-183r105,1,1,LF/23-23r385,1,1,DSATUR/99-748r45,0,0,DSATUR/197-2085r149,0,0,LF/31-199r547,1,1,DSATUR/176-7065r521,0,0,DSATUR/135-8733r205,0,0,LF/119-2959r893,1,0
18,DSATUR/48-1017r470,0,1,DSATUR/55-1207r332,0,0,LF/11-48r934,1,1,LF/26-260r706,1,1,LF/55-925r531,1,1,LF/80-102r653,1,1,LF/178-14580r133,1,0,LF/120-2220r825,1,0,LF/88-184r485,1,1,DSATUR/111-157r135,0,1
19,DSATUR/140-7144r912,0,0,DSATUR/87-1546r463,0,0,LF/55-408r510,1,1,DSATUR/148-7881r362,0,0,DSATUR/70-132r873,0,1,DSATUR/114-5223r241,0,0,LF/77-1915r621,1,1,LF/34-102r444,1,1,DSATUR/53-1299r319,0,1,LF/54-1285r85,1,1
20,LF/93-4161r554,1,0,LF/12-42r739,1,1,LF/109-5159r811,1,0,LF/31-117r53,1,1,DSATUR/167-4663r410,0,0,DSATUR/62-1210r629,0,0,LF/12-16r113,1,1,LF/75-89r846,1,1,DSATUR/169-9810r766,0,0,LF/26-303r779,1,1
21,DSATUR/65-1972r942,0,0,DSATUR/26-100r331,0,1,DSATUR/103-389r42,0,1,LF/19-74r778,1,1,LF/81-1981r593,1,0,DSATUR/182-5535r319,0,0,DSATUR/144-9370r244,0,0,LF/142-4165r807,1,0,DSATUR/144-4288r158,0,0,DSATUR/182-13843r988,0,0
22,LF/89-3825r681,1,0,LF/16-86r492,1,1,DSATUR/28-271r502,0,1,LF/34-89r725,1,1,LF/17-41r526,1,1,DSATUR/194-5963r235,0,0,DSATUR/59-1205r461,0,1,LF/57-1036r481,1,1,DSATUR/66-631r44,0,0,LF/14-16r903,1,1
23,LF/48-319r836,1,1,DSATUR/86-2854r798,0,0,DSATUR/34-466r506,0,1,LF/66-2139r847,1,1,DSATUR/133-7195r766,0,0,LF/27-212r617,1,1,LF/13-79r460,1,1,LF/34-247r132,1,1,LF/78-890r784,1,0,LF/24-275r290,1,1
24,LF/33-393r84,1,1,LF/29-109r147,1,1,DSATUR/67-113r141,0,1,LF/62-1470r467,1,1,LF/10-38r962,1,1,LF/83-2912r986,1,0,LF/71-2264r141,1,1,DSATUR/81-544r762,0,0,DSATUR/178-7057r56,0,0,LF/48-1108r825,1,1
25,DSATUR/175-1241r736,0,0,LF/170-654r129,1,0,DSATUR/117-1459r481,0,0,DSATUR/57-1426r859,0,1,DSATUR/89-463r734,0,1,DSATUR/196-13997r456,0,0,DSATUR/89-660r948,0,0,LF/13-21r689,1,1,DSATUR/87-932r600,0,0,LF/149-11018r569,1,1
