,fold0,fold0-Y,fold0-Prediction,fold1,fold1-Y,fold1-Prediction,fold2,fold2-Y,fold2-Prediction,fold3,fold3-Y,fold3-Prediction,fold4,fold4-Y,fold4-Prediction,fold5,fold5-Y,fold5-Prediction,fold6,fold6-Y,fold6-Prediction,fold7,fold7-Y,fold7-Prediction,fold8,fold8-Y,fold8-Prediction,fold9,fold9-Y,fold9-Prediction
0,DSATURimgs/45-457r248,0,1.0,LFimgs/52-393r210,1,1.0,LFimgs/37-95r407,1,1.0,DSATURimgs/10-18r910,0,1.0,LFimgs/36-591r93,1,1.0,DSATURimgs/121-5479r608,0,0.0,DSATURimgs/155-7266r719,0,0.0,LFimgs/57-570r955,1,1.0,LFimgs/115-6044r776,1,0.0,LFimgs/13-21r689,1,1.0
1,LFimgs/23-224r950,1,1.0,DSATURimgs/184-2166r517,0,0.0,LFimgs/39-551r0,1,1.0,DSATURimgs/169-12876r752,0,0.0,LFimgs/44-340r229,1,1.0,LFimgs/16-95r936,1,1.0,LFimgs/81-1549r569,1,1.0,LFimgs/100-2974r977,1,0.0,LFimgs/15-99r962,1,1.0,LFimgs/22-228r454,1,1.0
2,DSATURimgs/140-4750r530,0,0.0,DSATURimgs/117-4105r828,0,0.0,DSATURimgs/149-4659r492,0,0.0,DSATURimgs/104-2827r882,0,0.0,DSATURimgs/197-1097r385,0,1.0,DSATURimgs/68-510r910,0,0.0,DSATURimgs/139-8611r309,0,0.0,LFimgs/28-334r707,1,0.0,LFimgs/178-14257r231,1,0.0,LFimgs/35-386r108,1,1.0
3,LFimgs/55-1451r721,1,1.0,LFimgs/28-65r366,1,1.0,DSATURimgs/137-3270r31,0,0.0,LFimgs/97-147r322,1,1.0,DSATURimgs/158-206r818,0,1.0,LFimgs/144-8575r240,1,0.0,LFimgs/69-483r908,1,0.0,DSATURimgs/171-8061r315,0,0.0,DSATURimgs/194-9465r710,0,0.0,DSATURimgs/110-4520r273,0,1.0
4,LFimgs/17-138r167,1,1.0,LFimgs/20-89r648,1,1.0,DSATURimgs/58-149r716,0,1.0,LFimgs/48-982r446,1,0.0,LFimgs/12-53r413,1,1.0,LFimgs/21-159r662,1,1.0,DSATURimgs/43-128r308,0,1.0,LFimgs/91-2003r889,1,1.0,DSATURimgs/65-1114r975,0,1.0,DSATURimgs/153-1846r413,0,0.0
5,LFimgs/36-125r394,1,1.0,DSATURimgs/114-2870r74,0,0.0,DSATURimgs/131-7085r1,0,0.0,DSATURimgs/154-2781r410,0,0.0,LFimgs/173-393r381,1,0.0,LFimgs/34-97r328,1,1.0,DSATURimgs/99-581r425,0,0.0,DSATURimgs/35-232r248,0,1.0,DSATURimgs/170-12282r566,0,0.0,DSATURimgs/93-1344r349,0,0.0
6,LFimgs/24-77r665,1,1.0,DSATURimgs/57-527r227,0,0.0,LFimgs/59-217r396,1,1.0,LFimgs/17-41r526,1,0.0,DSATURimgs/168-11343r591,0,0.0,LFimgs/193-8061r176,1,0.0,LFimgs/115-415r471,1,0.0,LFimgs/105-5370r211,1,1.0,LFimgs/37-335r979,1,0.0,LFimgs/51-476r997,1,0.0
7,DSATURimgs/155-585r333,0,1.0,DSATURimgs/36-530r255,0,1.0,DSATURimgs/138-7628r372,0,0.0,LFimgs/29-67r34,1,1.0,LFimgs/10-33r236,1,1.0,DSATURimgs/194-13691r979,0,0.0,DSATURimgs/101-383r692,0,0.0,DSATURimgs/10-19r88,0,1.0,DSATURimgs/76-1298r445,0,1.0,LFimgs/84-1190r512,1,0.0
8,DSATURimgs/146-4642r967,0,0.0,DSATURimgs/175-14395r550,0,0.0,LFimgs/98-2265r727,1,0.0,DSATURimgs/192-8174r573,0,0.0,LFimgs/11-13r385,1,1.0,LFimgs/76-2775r629,1,1.0,LFimgs/161-9680r883,1,0.0,LFimgs/34-246r15,1,1.0,LFimgs/10-25r455,1,1.0,DSATURimgs/114-1429r60,0,0.0
9,LFimgs/34-547r144,1,1.0,DSATURimgs/165-6646r198,0,0.0,DSATURimgs/140-2092r778,0,0.0,DSATURimgs/69-1499r50,0,0.0,DSATURimgs/196-11378r623,0,0.0,DSATURimgs/92-2723r329,0,0.0,LFimgs/194-670r161,1,0.0,LFimgs/62-255r705,1,0.0,DSATURimgs/172-503r135,0,1.0,LFimgs/78-3023r320,1,1.0
10,LFimgs/51-109r503,1,1.0,DSATURimgs/40-596r5,0,1.0,DSATURimgs/32-376r784,0,1.0,DSATURimgs/104-975r607,0,0.0,DSATURimgs/90-3484r976,0,0.0,DSATURimgs/120-897r519,0,0.0,LFimgs/61-1768r312,1,1.0,LFimgs/13-69r369,1,1.0,LFimgs/111-3662r577,1,0.0,LFimgs/48-696r943,1,0.0
11,DSATURimgs/187-13481r804,0,0.0,DSATURimgs/98-2314r595,0,0.0,LFimgs/171-13317r5,1,0.0,LFimgs/87-168r339,1,0.0,DSATURimgs/76-2324r883,0,0.0,DSATURimgs/56-222r847,0,0.0,LFimgs/18-134r861,1,1.0,DSATURimgs/45-922r126,0,1.0,LFimgs/125-7727r55,1,1.0,DSATURimgs/54-1077r480,0,0.0
12,DSATURimgs/146-4806r199,0,0.0,DSATURimgs/137-4403r857,0,0.0,LFimgs/28-245r371,1,1.0,DSATURimgs/37-473r430,0,1.0,LFimgs/15-58r338,1,1.0,LFimgs/42-838r986,1,1.0,LFimgs/14-44r698,1,1.0,LFimgs/55-1481r0,1,1.0,LFimgs/147-9772r106,1,0.0,DSATURimgs/198-1942r138,0,0.0
13,LFimgs/73-2322r190,1,0.0,DSATURimgs/62-1706r300,0,0.0,LFimgs/42-270r452,1,1.0,LFimgs/34-80r782,1,1.0,DSATURimgs/177-11657r42,0,0.0,LFimgs/61-1393r373,1,0.0,DSATURimgs/101-2745r298,0,1.0,DSATURimgs/140-6604r159,0,0.0,LFimgs/68-658r15,1,1.0,LFimgs/19-127r928,1,1.0
