,fold0,fold0-Y,fold0-Prediction,fold1,fold1-Y,fold1-Prediction,fold2,fold2-Y,fold2-Prediction,fold3,fold3-Y,fold3-Prediction,fold4,fold4-Y,fold4-Prediction,fold5,fold5-Y,fold5-Prediction,fold6,fold6-Y,fold6-Prediction,fold7,fold7-Y,fold7-Prediction,fold8,fold8-Y,fold8-Prediction,fold9,fold9-Y,fold9-Prediction
0,DSATUR/54-253r806.csv,1,2,DSATUR/96-2948r504.csv,1,2,DSATUR/63-884r836.csv,1,2,LF/196-18359r596.csv,2,1,LF/58-555r350.csv,2,1,DSATUR/197-11377r635.csv,1,1,DSATUR/64-616r52.csv,1,1,DSATUR/125-901r30.csv,1,1,LF/81-2951r189.csv,2,2,LF/28-215r716.csv,2,2
1,DSATUR/37-164r279.csv,1,2,LF/10-17r131.csv,2,2,LF/22-35r754.csv,2,2,LF/163-9178r245.csv,2,1,DSATUR/132-2790r841.csv,1,1,LF/77-788r622.csv,2,2,LF/118-2444r926.csv,2,1,DSATUR/170-12282r566.csv,1,1,DSATUR/163-1263r822.csv,1,2,LF/16-106r437.csv,2,2
2,DSATUR/48-902r690.csv,1,1,DSATUR/185-6750r900.csv,1,1,DSATUR/57-639r926.csv,1,2,DSATUR/45-457r248.csv,1,1,LF/31-199r547.csv,2,2,LF/19-48r589.csv,2,2,LF/48-1108r825.csv,2,2,DSATUR/172-849r162.csv,1,1,DSATUR/166-2826r274.csv,1,1,DSATUR/170-3607r873.csv,1,1
3,DSATUR/130-4024r725.csv,1,1,LF/169-1040r399.csv,2,1,LF/122-7374r197.csv,2,1,LF/12-58r186.csv,2,2,DSATUR/75-384r152.csv,1,1,DSATUR/45-872r368.csv,1,1,DSATUR/63-1243r206.csv,1,2,DSATUR/174-1525r108.csv,1,1,DSATUR/94-744r192.csv,1,1,DSATUR/122-2018r339.csv,1,1
4,DSATUR/164-4532r557.csv,1,1,LF/39-756r627.csv,2,2,LF/13-65r471.csv,2,2,LF/12-68r680.csv,2,2,DSATUR/180-4021r45.csv,1,1,DSATUR/137-1645r177.csv,1,1,LF/15-55r81.csv,2,2,LF/13-74r371.csv,2,2,DSATUR/85-1887r124.csv,1,2,DSATUR/108-3547r170.csv,1,1
5,DSATUR/139-3485r647.csv,1,1,DSATUR/121-2903r807.csv,1,1,DSATUR/182-7027r852.csv,1,1,DSATUR/158-2348r448.csv,1,1,LF/81-2749r118.csv,2,1,LF/102-213r371.csv,2,2,LF/62-228r510.csv,2,1,DSATUR/87-338r100.csv,1,2,LF/67-227r559.csv,2,2,LF/57-494r161.csv,2,2
6,DSATUR/98-3525r403.csv,1,2,LF/71-2211r952.csv,2,1,LF/50-247r919.csv,2,2,DSATUR/120-3602r811.csv,1,1,DSATUR/44-439r246.csv,1,1,LF/98-4741r169.csv,2,2,DSATUR/114-2373r239.csv,1,1,LF/34-533r685.csv,2,2,LF/170-7089r792.csv,2,1,LF/63-1817r283.csv,2,1
7,DSATUR/114-3997r713.csv,1,1,LF/185-7747r405.csv,2,1,DSATUR/131-5519r388.csv,1,1,LF/187-14328r223.csv,2,1,LF/73-2322r995.csv,2,2,DSATUR/174-14032r79.csv,1,2,LF/10-10r619.csv,2,2,LF/34-50r331.csv,2,2,LF/44-117r788.csv,2,2,DSATUR/152-8266r421.csv,1,1
8,DSATUR/118-4260r203.csv,1,2,DSATUR/195-16850r941.csv,1,2,LF/163-772r399.csv,2,2,LF/144-3057r86.csv,2,1,LF/178-13902r76.csv,2,1,LF/19-159r558.csv,2,2,LF/123-7097r44.csv,2,1,DSATUR/116-3431r768.csv,1,1,DSATUR/133-986r512.csv,1,1,LF/27-126r108.csv,2,2
9,LF/15-57r488.csv,2,2,LF/146-10393r141.csv,2,1,LF/80-2913r682.csv,2,1,DSATUR/183-12027r564.csv,1,1,DSATUR/36-462r354.csv,1,2,DSATUR/42-278r487.csv,1,1,LF/36-75r288.csv,2,2,DSATUR/100-4127r43.csv,1,1,DSATUR/95-1724r298.csv,1,1,LF/59-717r539.csv,2,1
