,fold0,fold0-Y,fold0-Prediction,fold1,fold1-Y,fold1-Prediction,fold2,fold2-Y,fold2-Prediction,fold3,fold3-Y,fold3-Prediction,fold4,fold4-Y,fold4-Prediction,fold5,fold5-Y,fold5-Prediction,fold6,fold6-Y,fold6-Prediction,fold7,fold7-Y,fold7-Prediction,fold8,fold8-Y,fold8-Prediction,fold9,fold9-Y,fold9-Prediction
0,Expknap/20_knapPI_15_100_1000_1_new,1,1,Combo/InverseStrong105,0,0,Combo/CubeFit114,0,0,Combo/85_knapPI_9_200_100000_1_new,0,1,Expknap/12_knapPI_9_100_1000_1_new,1,1,Combo/Multiple170,0,0,Combo/EvenOddStrong039,0,0,Combo/Profit010,0,0,Combo/SpannerUncorrelated115,0,0,Expknap/28_knapPI_4_500_1000000_1_new,1,1
1,Expknap/11_knapPI_1_1000_1000_1_new,1,1,Combo/InverseStrong004,0,0,Expknap/19_knapPI_4_1000_10000_1_new,1,0,Expknap/10_knapPI_3_500_1000_1_new,1,1,Expknap/33_knapPI_3_2000_10000_1_new,1,1,Combo/Multiple003,0,0,Expknap/25_knapPI_16_100_1000_1_new,1,1,Expknap/38_knapPI_2_100_1000000_1_new,1,1,Expknap/11_knapPI_4_100_10000000_1_new,1,1,Expknap/18_knapPI_1_100_1000000_1_new,1,1
2,Combo/QuadFit047,0,0,Expknap/1_knapPI_5_50_100000_1_new,1,1,Expknap/36_knapPI_1_2000_100000_1_new,1,1,Combo/EvenOddSubsetSum134,0,0,Expknap/30_knapPI_16_200_1000_1_new,1,1,Combo/95_knapPI_6_500_1000000_1_new,0,0,Combo/EvenOddStrong027,0,0,Combo/EvenOddStrong104,0,0,Combo/62_knapPI_4_2000_100000_1_new,0,0,Expknap/21_knapPI_15_100_1000_1_new,1,1
3,Combo/Circle006,0,0,Combo/EvenOddStrong103,0,0,Combo/InverseStrong032,0,0,Combo/CubeFit083,0,0,Combo/ProfitLargeOnly034,0,0,Expknap/29_knapPI_13_1000_1000_1_new,1,1,Combo/11_knapPI_9_1000_1000000_1_new,0,0,Combo/InverseStrong056,0,0,Combo/Profit018,0,0,Combo/AlmostStrong073,0,0
4,Combo/CubeFit150,0,0,Combo/EvenOddSubsetSum090,0,0,Expknap/14_knapPI_1_100_1000000_1_new,1,1,Expknap/12_knapPI_1_100_1000000_1_new,1,1,Expknap/28_knapPI_1_200_10000_1_new,1,1,Expknap/37_knapPI_14_200_1000_1_new,1,1,Expknap/2_knapPI_3_50_1000000_1_new,1,1,Combo/Profit026,0,0,Expknap/41_knapPI_5_50_100000_1_new,1,1,Expknap/35_knapPI_2_100_1000000_1_new,1,1
5,Combo/ProfitLargeOnly148,0,0,Expknap/34_knapPI_16_20_1000_1_new,1,1,Expknap/20_knapPI_14_100_1000_1_new,1,1,Combo/SpannerStrong057,0,0,Expknap/47_knapPI_15_20_1000_1_new,1,1,Combo/SimilarWeightsUncorrelated080,0,0,Expknap/37_knapPI_13_1000_1000_1_new,1,0,Combo/ProfitLargeOnly047,0,0,Expknap/44_knapPI_1_100_1000000_1_new,1,1,Combo/Multiple200,0,0
6,Combo/Circle026,0,0,Combo/90_knapPI_9_2000_1000_1_new,0,0,Combo/EvenOddStrong024,0,0,Combo/Multiple098,0,0,Combo/EvenOddStrong019,0,0,Expknap/30_knapPI_15_200_1000_1_new,1,1,Expknap/37_knapPI_9_2000_1000_1_new,1,0,Combo/28_knapPI_6_100_100000_1_new,0,1,Expknap/12_knapPI_16_20_1000_1_new,1,1,Combo/Multiple189,0,0
7,Expknap/45_knapPI_9_200_100000_1_new,1,1,Expknap/1_knapPI_4_50_10000_1_new,1,1,Combo/SpannerStrong055,0,0,Combo/AlmostStrong012,0,0,Expknap/13_knapPI_6_50_1000_1_new,1,1,Combo/SpannerStrong071,0,0,Expknap/26_knapPI_5_2000_1000_1_new,1,1,Expknap/37_knapPI_15_1000_1000_1_new,1,1,Combo/RandomCeiling191,0,0,Combo/AlmostStrong002,0,0
8,Combo/Circle073,0,0,Combo/CubeFit172,0,0,Combo/Circle042,0,0,Expknap/10_knapPI_3_2000_10000_1_new,1,1,Combo/CubeFit144,0,0,Expknap/35_knapPI_1_2000_100000_1_new,1,1,Expknap/49_knapPI_9_2000_1000_1_new,1,0,Combo/EvenOddSubsetSum006,0,0,Combo/Multiple073,0,0,Combo/6_knapPI_9_500_1000_1_new,0,1
9,Combo/SpannerUncorrelated017,0,0,Combo/ProfitLargeOnly036,0,0,Expknap/20_knapPI_9_50_1000000_1_new,1,1,Expknap/3_knapPI_13_200_1000_1_new,1,1,Combo/AlmostStrong116,0,0,Expknap/44_knapPI_5_2000_1000_1_new,1,1,Expknap/46_knapPI_15_100_1000_1_new,1,1,Combo/41_knapPI_4_2000_100000_1_new,0,0,Combo/CubeFit064,0,0,Combo/Profit142,0,0
