,fold0,fold0-Y,fold0-Prediction,fold1,fold1-Y,fold1-Prediction,fold2,fold2-Y,fold2-Prediction,fold3,fold3-Y,fold3-Prediction,fold4,fold4-Y,fold4-Prediction,fold5,fold5-Y,fold5-Prediction,fold6,fold6-Y,fold6-Prediction,fold7,fold7-Y,fold7-Prediction,fold8,fold8-Y,fold8-Prediction,fold9,fold9-Y,fold9-Prediction
0,ComboImgs/AlmostStrong169,0,0.0,ExpImgs/14_knapPI_14_100_1000_1_new,1,1.0,ExpImgs/36_knapPI_4_200_1000_1_new,1,1.0,ExpImgs/42_knapPI_3_1000_100000_1_new,1,1.0,ExpImgs/32_knapPI_12_1000_1000_1_new,1,1.0,ExpImgs/22_knapPI_3_500_1000_1_new,1,1.0,ComboImgs/InverseStrong083,0,0.0,ComboImgs/SpannerUncorrelated004,0,0.0,ComboImgs/15_knapPI_4_2000_100000_1_new,0,0.0,ComboImgs/EvenOddStrong045,0,0.0
1,ExpImgs/34_knapPI_15_100_1000_1_new,1,1.0,ComboImgs/EvenOddSubsetSum080,0,0.0,ExpImgs/21_knapPI_16_100_1000_1_new,1,1.0,ExpImgs/2_knapPI_3_100_10000_1_new,1,1.0,ComboImgs/83_knapPI_4_2000_100000_1_new,0,0.0,ComboImgs/Circle114,0,0.0,ExpImgs/35_knapPI_1_2000_100000_1_new,1,1.0,ExpImgs/23_knapPI_1_1000_1000_1_new,1,1.0,ComboImgs/17_knapPI_11_2000_1000_1_new,0,0.0,ComboImgs/QuadFit196,0,0.0
2,ComboImgs/QuadFit004,0,0.0,ComboImgs/SimilarWeightsUncorrelated081,0,0.0,ComboImgs/SpannerUncorrelated078,0,0.0,ExpImgs/2_knapPI_16_1000_1000_1_new,1,1.0,ExpImgs/38_knapPI_16_1000_1000_1_new,1,1.0,ExpImgs/27_knapPI_14_1000_1000_1_new,1,1.0,ComboImgs/InverseStrong196,0,0.0,ComboImgs/21_knapPI_13_200_1000_1_new,0,0.0,ComboImgs/Circle036,0,0.0,ExpImgs/23_knapPI_13_100_1000_1_new,1,0.0
3,ComboImgs/94_knapPI_9_2000_1000_1_new,0,1.0,ComboImgs/Profit010,0,0.0,ComboImgs/ProfitLargeOnly076,0,0.0,ExpImgs/18_knapPI_2_200_10000_1_new,1,1.0,ComboImgs/EvenOddStrong123,0,0.0,ExpImgs/30_knapPI_3_200_10000000_1_new,1,1.0,ComboImgs/Multiple106,0,0.0,ExpImgs/21_knapPI_1_500_10000000_1_new,1,1.0,ComboImgs/CubeFit119,0,0.0,ExpImgs/16_knapPI_13_100_1000_1_new,1,1.0
4,ComboImgs/ProfitLargeOnly094,0,0.0,ComboImgs/94_knapPI_11_200_1000_1_new,0,0.0,ComboImgs/SpannerStrong015,0,0.0,ExpImgs/36_knapPI_15_20_1000_1_new,1,1.0,ComboImgs/91_knapPI_6_500_1000000_1_new,0,1.0,ComboImgs/EvenOddStrong053,0,0.0,ExpImgs/31_knapPI_11_1000_1000_1_new,1,1.0,ComboImgs/Circle006,0,0.0,ExpImgs/34_knapPI_5_1000_10000000_1_new,1,1.0,ExpImgs/29_knapPI_1_2000_100000_1_new,1,1.0
5,ExpImgs/33_knapPI_15_20_1000_1_new,1,1.0,ExpImgs/38_knapPI_3_2000_10000_1_new,1,1.0,ComboImgs/SimilarWeightsUncorrelated065,0,0.0,ExpImgs/18_knapPI_2_2000_1000000_1_new,1,1.0,ExpImgs/30_knapPI_5_1000_10000000_1_new,1,1.0,ExpImgs/16_knapPI_4_1000_10000_1_new,1,0.0,ComboImgs/EvenOddStrong193,0,0.0,ComboImgs/EvenOddSubsetSum086,0,0.0,ExpImgs/28_knapPI_11_100_1000_1_new,1,1.0,ComboImgs/18_knapPI_4_500_1000000_1_new,0,0.0
6,ComboImgs/EvenOddSubsetSum001,0,0.0,ExpImgs/16_knapPI_15_20_1000_1_new,1,1.0,ComboImgs/CubeFit155,0,0.0,ComboImgs/EvenOddSubsetSum115,0,0.0,ExpImgs/26_knapPI_5_200_1000000_1_new,1,1.0,ComboImgs/CubeFit028,0,0.0,ComboImgs/CubeFit092,0,0.0,ExpImgs/3_knapPI_4_500_1000000_1_new,1,0.0,ExpImgs/20_knapPI_1_200_10000_1_new,1,1.0,ComboImgs/84_knapPI_4_2000_100000_1_new,0,0.0
7,ExpImgs/13_knapPI_9_50_1000000_1_new,1,1.0,ExpImgs/32_knapPI_9_100_1000_1_new,1,1.0,ExpImgs/41_knapPI_2_50_1000_1_new,1,1.0,ComboImgs/InverseStrong112,0,0.0,ComboImgs/SpannerUncorrelated137,0,0.0,ExpImgs/19_knapPI_1_200_10000_1_new,1,1.0,ExpImgs/16_knapPI_3_100_10000_1_new,1,1.0,ExpImgs/10_knapPI_2_200_10000_1_new,1,1.0,ComboImgs/Circle123,0,0.0,ComboImgs/InverseStrong117,0,0.0
8,ComboImgs/12_knapPI_9_2000_1000_1_new,0,0.0,ComboImgs/SimilarWeightsUncorrelated155,0,0.0,ComboImgs/SpannerStrong035,0,0.0,ComboImgs/Profit018,0,0.0,ComboImgs/QuadFit110,0,0.0,ExpImgs/15_knapPI_14_100_1000_1_new,1,1.0,ComboImgs/CubeFit162,0,0.0,ExpImgs/48_knapPI_14_1000_1000_1_new,1,1.0,ExpImgs/46_knapPI_1_1000_1000_1_new,1,1.0,ComboImgs/AlmostStrong118,0,0.0
9,ComboImgs/EvenOddSubsetSum049,0,0.0,ComboImgs/EvenOddSubsetSum013,0,0.0,ComboImgs/CubeFit115,0,0.0,ComboImgs/CubeFit040,0,0.0,ComboImgs/13_knapPI_12_200_1000_1_new,0,1.0,ComboImgs/Circle025,0,0.0,ComboImgs/QuadFit173,0,0.0,ComboImgs/RandomCeiling031,0,0.0,ComboImgs/QuadFit097,0,0.0,ComboImgs/SpannerUncorrelated074,0,0.0
