,fold0,fold0-Y,fold0-Prediction,fold1,fold1-Y,fold1-Prediction,fold2,fold2-Y,fold2-Prediction,fold3,fold3-Y,fold3-Prediction,fold4,fold4-Y,fold4-Prediction,fold5,fold5-Y,fold5-Prediction,fold6,fold6-Y,fold6-Prediction,fold7,fold7-Y,fold7-Prediction,fold8,fold8-Y,fold8-Prediction,fold9,fold9-Y,fold9-Prediction
0,Expknap/40_knapPI_9_50_1000000_1_new,1,1.0,Expknap/28_knapPI_12_1000_1000_1_new,1,1.0,Combo/83_knapPI_9_1000_1000000_1_new,0,1.0,Combo/InverseStrong126,0,0.0,Combo/Multiple126,0,0.0,Combo/QuadFit045,0,0.0,Expknap/32_knapPI_2_1000_1000_1_new,1,1.0,Combo/EvenOddSubsetSum196,0,0.0,Combo/AlmostStrong001,0,0.0,Combo/QuadFit039,0,0.0
1,Expknap/18_knapPI_2_50_1000_1_new,1,1.0,Combo/InverseStrong100,0,0.0,Combo/EvenOddStrong111,0,0.0,Expknap/44_knapPI_3_100_10000_1_new,1,1.0,Combo/SpannerStrong148,0,0.0,Expknap/17_knapPI_13_1000_1000_1_new,1,1.0,Combo/ProfitLargeOnly180,0,0.0,Expknap/42_knapPI_4_200_1000_1_new,1,1.0,Expknap/16_knapPI_4_500_1000000_1_new,1,1.0,Expknap/45_knapPI_3_50_1000000_1_new,1,1.0
2,Expknap/24_knapPI_9_50_1000000_1_new,1,1.0,Expknap/0_knapPI_6_100_100000_1_new,1,1.0,Expknap/25_knapPI_12_20_1000_1_new,1,1.0,Combo/Multiple134,0,0.0,Expknap/13_knapPI_1_100_1000000_1_new,1,1.0,Combo/ProfitLargeOnly084,0,0.0,Combo/EvenOddStrong193,0,0.0,Combo/CubeFit132,0,0.0,Expknap/41_knapPI_5_500_10000_1_new,1,1.0,Combo/56_knapPI_11_200_1000_1_new,0,0.0
3,Expknap/33_knapPI_4_100_10000000_1_new,1,1.0,Expknap/19_knapPI_14_1000_1000_1_new,1,1.0,Combo/ProfitLargeOnly173,0,0.0,Combo/EvenOddSubsetSum179,0,0.0,Expknap/42_knapPI_14_1000_1000_1_new,1,1.0,Combo/Profit052,0,0.0,Combo/Circle013,0,0.0,Expknap/31_knapPI_14_1000_1000_1_new,1,1.0,Expknap/44_knapPI_2_500_10000000_1_new,1,1.0,Expknap/41_knapPI_11_500_1000_1_new,1,1.0
4,Combo/Circle029,0,1.0,Expknap/38_knapPI_4_50_10000_1_new,1,1.0,Combo/QuadFit176,0,0.0,Expknap/4_knapPI_5_100_1000_1_new,1,1.0,Expknap/29_knapPI_1_1000_1000_1_new,1,1.0,Expknap/3_knapPI_2_500_10000000_1_new,1,1.0,Combo/InverseStrong123,0,0.0,Expknap/47_knapPI_13_1000_1000_1_new,1,1.0,Expknap/30_knapPI_5_100_1000_1_new,1,1.0,Combo/EvenOddStrong146,0,0.0
5,Combo/68_knapPI_12_1000_1000_1_new,0,0.0,Expknap/27_knapPI_2_200_10000_1_new,1,1.0,Expknap/29_knapPI_1_50_10000_1_new,1,1.0,Expknap/35_knapPI_6_100_100000_1_new,1,1.0,Combo/EvenOddSubsetSum049,0,0.0,Combo/QuadFit184,0,0.0,Combo/EvenOddStrong051,0,0.0,Combo/Circle070,0,0.0,Combo/EvenOddStrong133,0,1.0,Combo/37_knapPI_6_500_1000000_1_new,0,1.0
6,Expknap/0_knapPI_14_200_1000_1_new,1,1.0,Combo/Profit032,0,0.0,Combo/93_knapPI_9_1000_1000000_1_new,0,1.0,Expknap/30_knapPI_5_500_10000_1_new,1,1.0,Combo/SpannerStrong018,0,0.0,Expknap/19_knapPI_15_1000_1000_1_new,1,1.0,Expknap/10_knapPI_9_50_1000000_1_new,1,1.0,Combo/Multiple159,0,0.0,Combo/Circle183,0,0.0,Expknap/39_knapPI_15_100_1000_1_new,1,1.0
7,Expknap/34_knapPI_3_200_10000000_1_new,1,1.0,Combo/Circle095,0,0.0,Expknap/40_knapPI_15_1000_1000_1_new,1,1.0,Expknap/20_knapPI_1_500_10000000_1_new,1,1.0,Expknap/22_knapPI_5_500_10000_1_new,1,1.0,Combo/EvenOddSubsetSum136,0,0.0,Expknap/10_knapPI_5_50_100000_1_new,1,1.0,Combo/86_knapPI_11_500_1000_1_new,0,0.0,Combo/EvenOddSubsetSum160,0,0.0,Combo/CubeFit191,0,0.0
8,Combo/SpannerUncorrelated055,0,0.0,Combo/97_knapPI_13_200_1000_1_new,0,0.0,Combo/Multiple066,0,0.0,Expknap/10_knapPI_5_500_10000_1_new,1,1.0,Combo/SpannerUncorrelated097,0,0.0,Combo/EvenOddStrong140,0,0.0,Expknap/46_knapPI_9_2000_1000_1_new,1,1.0,Combo/AlmostStrong109,0,0.0,Combo/QuadFit139,0,0.0,Expknap/1_knapPI_15_1000_1000_1_new,1,1.0
9,Combo/RandomCeiling075,0,0.0,Expknap/41_knapPI_9_100_1000_1_new,1,1.0,Combo/Profit026,0,0.0,Expknap/36_knapPI_6_1000_1000_1_new,1,1.0,Expknap/0_knapPI_2_100_1000000_1_new,1,1.0,Combo/SimilarWeightsUncorrelated174,0,0.0,Combo/SpannerUncorrelated115,0,1.0,Expknap/16_knapPI_5_1000_10000000_1_new,1,1.0,Expknap/38_knapPI_6_100_100000_1_new,1,1.0,Expknap/25_knapPI_15_20_1000_1_new,1,1.0
