,fold0,fold0-Y,fold0-Prediction,fold1,fold1-Y,fold1-Prediction,fold2,fold2-Y,fold2-Prediction,fold3,fold3-Y,fold3-Prediction,fold4,fold4-Y,fold4-Prediction,fold5,fold5-Y,fold5-Prediction,fold6,fold6-Y,fold6-Prediction,fold7,fold7-Y,fold7-Prediction,fold8,fold8-Y,fold8-Prediction,fold9,fold9-Y,fold9-Prediction
0,TSP-80-9-3-2862,0,1.0,TSP-22-10-1-1743,0,0.0,TSP-141-5-1-3026,1,1.0,TSP-110-4-0-5202,1,1.0,TSP-153-6-0-2901,1,1.0,TSP-72-6-3-2928,0,0.0,TSP-174-7-3-24,0,0.0,TSP-39-8-1-3767,0,0.0,TSP-148-5-0-109,1,0.0,TSP-104-2-0-3711,1,1.0
1,TSP-178-10-1-4465,1,1.0,TSP-114-4-0-3698,1,1.0,TSP-89-4-2-2196,1,0.0,TSP-139-9-1-3720,0,0.0,TSP-103-3-2-986,0,1.0,TSP-164-6-3-2469,1,0.0,TSP-46-9-1-2281,0,0.0,TSP-127-8-1-5399,1,0.0,TSP-27-8-2-3938,1,1.0,TSP-75-6-0-4164,0,0.0
2,TSP-56-7-0-1516,0,1.0,TSP-140-8-1-2126,1,1.0,TSP-183-8-2-106,0,0.0,TSP-119-9-0-1025,1,1.0,TSP-24-7-3-1498,0,1.0,TSP-175-3-0-1520,1,1.0,TSP-86-9-2-2781,1,0.0,TSP-152-4-0-1046,1,1.0,TSP-114-7-1-526,1,1.0,TSP-52-4-0-875,0,1.0
3,TSP-22-2-2-2793,0,0.0,TSP-93-4-3-2772,1,0.0,TSP-141-10-1-4819,1,0.0,TSP-61-8-1-1362,0,0.0,TSP-99-1-0-1396,1,0.0,TSP-117-7-1-1837,0,1.0,TSP-33-8-3-679,1,0.0,TSP-61-8-0-2896,0,0.0,TSP-194-4-3-1825,0,1.0,TSP-164-7-0-1092,1,0.0
4,TSP-110-9-3-2757,1,0.0,TSP-156-2-3-4501,0,0.0,TSP-197-1-3-656,1,1.0,TSP-159-2-3-1864,1,1.0,TSP-53-5-3-2219,1,0.0,TSP-135-1-1-2394,1,1.0,TSP-189-10-0-3353,1,1.0,TSP-72-1-0-287,0,0.0,TSP-82-3-2-4343,0,0.0,TSP-172-6-2-359,0,0.0
5,TSP-191-3-1-1919,1,1.0,TSP-172-5-0-672,1,0.0,TSP-163-4-1-3910,1,1.0,TSP-191-6-1-3864,1,1.0,TSP-186-10-2-4958,1,1.0,TSP-81-3-2-2012,0,0.0,TSP-160-8-2-3828,1,0.0,TSP-132-6-0-51,1,1.0,TSP-178-1-0-1126,1,1.0,TSP-143-7-2-1255,0,0.0
6,TSP-40-5-2-3972,0,1.0,TSP-107-6-1-1452,1,0.0,TSP-36-7-3-3806,0,0.0,TSP-132-5-0-2046,1,1.0,TSP-191-1-0-1029,1,1.0,TSP-121-9-0-4215,1,1.0,TSP-167-5-2-4572,1,1.0,TSP-82-10-2-950,0,1.0,TSP-179-9-0-4849,1,0.0,TSP-42-8-1-2625,0,0.0
7,TSP-96-3-0-4384,1,1.0,TSP-99-8-2-3956,1,1.0,TSP-193-10-0-1689,1,1.0,TSP-178-8-3-25,0,0.0,TSP-161-6-0-267,1,1.0,TSP-112-6-0-1949,1,1.0,TSP-111-4-0-5514,1,1.0,TSP-182-5-0-1817,1,1.0,TSP-108-5-3-1186,0,0.0,TSP-27-5-3-7,0,0.0
8,TSP-189-1-2-2617,1,1.0,TSP-89-7-2-1202,1,0.0,TSP-137-2-3-2786,1,0.0,TSP-156-9-0-4787,1,1.0,TSP-166-3-3-925,0,1.0,TSP-84-8-1-4452,1,1.0,TSP-32-4-3-2041,1,0.0,TSP-128-9-3-1568,0,1.0,TSP-54-9-0-2474,0,0.0,TSP-96-5-0-5,1,1.0
9,TSP-93-5-0-1429,0,1.0,TSP-40-1-0-1515,0,1.0,TSP-103-3-0-280,1,0.0,TSP-182-4-0-2946,1,0.0,TSP-106-6-0-3900,1,1.0,TSP-186-10-0-867,1,1.0,TSP-107-1-0-1152,0,0.0,TSP-56-9-2-4967,1,1.0,TSP-150-7-1-1074,1,1.0,TSP-87-4-2-1550,1,1.0
